Job Title,Company Name,Location,Date Scraped,Job URL,Job Industry,Job Type,Job Seniority,Job Description,
10,Senior Business Analyst,Westpac Group,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/senior-business-analyst-at-westpac-group-2656315197?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=cAugszMPrBZb%2BI2Tmrt4%2Fw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Banking, Financial Services, and Investment Banking","Employment type
Full-time",Not Applicable," How will I help?  Reporting to the CORE Lead, and as a member of the CORE Program team, you will be responsible for providing business analysis and support expertise to the CORE Program.      Joining Westpac has many benefits besides building a long and stable career. You’ll be able to purchase leave to facilitate your dreams or obligations and you’ll be encouraged to participate in the community through paid volunteer leave and secondments. You’ll also be entitled to a suite of online learning, training modules and career planning tools to grow with us.      We aim to provide one big, supportive team to help us reach our vision to become one of the world’s great service companies. Working with us you'll discover new ways of working, and an exciting range of roles to showcase your skills. As an equal opportunity employer, we’re proud to have created a culture where people can be their best, in an environment that values diversity and flexibility. And one where everyone belongs.    Start here. Just click on the button.  As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply.  The health and wellbeing of our employees is our top priority. We have developed clear standards to ensure our people are confident, safe, and healthy whether they are working from a Westpac Group site or working from home. These are based on expert medical advice and Safe Work Australia guidelines.  that this will be a 2 year minimum contract."
11,Data and Reporting Analyst,The Nudge Group,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/data-and-reporting-analyst-at-the-nudge-group-2656307615?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=jOlUHFm0S8MhOexIsSt0YQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Financial Services and Information Technology and Services,"Employment type
Full-time",Mid-Senior level,"Disruptive FinTech, looking for an independent/self sufficient Data & Reporting Analyst.  Have you worked in the financial services industry for a while now, and feel like it's time to shake things up? This is the perfect opportunity for you to do so. The biggest booming industry right now is Fintech and this is your chance to get a foot in the door."
12,Lead Data engineer - Spark,Wipro Limited,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/lead-data-engineer-spark-at-wipro-limited-2656303738?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=%2FyOOzbdgwMf%2BgFj5yzOREA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Information Technology and Services,"Employment type
Full-time",Mid-Senior level,"About Us We are Wipro (NYSE: WIT), a rapidly expanding and leading global Information Technology, Consulting and Business Process Services company, headquartered out of Bangalore, India with over 200,000 employees worldwide, servicing clients in 175+ cities across 6 continents. For more information, please visit www.wipro.com"
13,Lead Data engineer - Talend,Wipro Limited,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/lead-data-engineer-talend-at-wipro-limited-2656309075?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=ByhsU2Qvf2Pvign9HJBb8A%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Information Technology and Services,"Employment type
Full-time",Mid-Senior level,"About Us We are Wipro (NYSE: WIT), a rapidly expanding and leading global Information Technology, Consulting and Business Process Services company, headquartered out of Bangalore, India with over 200,000 employees worldwide, servicing clients in 175+ cities across 6 continents. For more information, please visit www.wipro.com"
14,Data Analyst,JLL,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/data-analyst-at-jll-2625808124?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=4FJ2BTzDaNjpxjSZX2vzVQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,"Marketing and Advertising, Information Technology and Services, and Financial Services","Employment type
Full-time",Entry level,"What’s your ambition? Is it a big goal or small steps? Professional or personal? We’d like to know, because we make your ambitions our business.  We’re JLL. We’re a professional services and investment management firm specializing in real estate. We help organizations around the world achieve their ambitions by owning, occupying and investing in real estate.  If you’re looking to step up your career, JLL is the perfect professional home. At JLL, you’ll have a chance to innovate with the world’s leading businesses, put that expertise into action on landmark projects, and work on game-changing real estate initiatives.    A fantastic opportunity has arisen for a self-starter who can work in a diverse and fast-paced environment to join our global Technology, Data and Information Management organization as an Analyst.  As the Data Analyst, you’ll be accountable for developing real estate technology and data strategies for JLL Enterprise clients.  In this busy and diverse role, you’ll;    To be successful, you’ll be a confident self-starter with a background knowledge working in the Property and Finance industries. You’ll be a collaborative team player who adopts a hands-on approach to rapidly changing situations and has the ability to build strong working relationships with multiple client stakeholders.  You’ll demonstrate flexibility, an ability to adapt to ambiguous and sometimes stressful situations.  A demonstrated aptitude for the interpretation and analysis of enterprise data using standard analytical , reporting and programming languages like SQL, Power BI/Tableau and Python will make you a star candidate! Knowledge on Azure data technologies is a plus.  You will have a Bachelor’s Degree in a relevant field, and experienced in information science, computer science or analytics preferred.    You’ll join an entrepreneurial, inclusive culture. One where we succeed together – across the desk and around the globe. Where like-minded people work naturally together to achieve great things. Keep those ambitions in sight and imagine where JLL can take you...  JLL is committed to developing and maintaining a diverse workforce. As an organisation, we don’t just accept that we are a place of many different people, but we embrace it, we celebrate it, and we proactively support the needs that difference brings. JLL is committed to equal opportunity regardless of race, gender, age, sexual orientation or disability, and that is why, for more than a decade, we continue to rank among the World’s Most Ethical Companies.    Please note, although developing relationships with agencies forms a component of the JLL talent acquisition strategy, on this occasion agency submissions will not be accepted.    Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.  For more information about how JLL processes your personal data, please view our Candidate Privacy Statement .  For additional details please see our career site pages for each country.  For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here .  Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com . This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL."
15,Data & Insights Analyst,Australian Communications and Media Authority (ACMA),"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/data-insights-analyst-at-australian-communications-and-media-authority-acma-2662281991?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=6EUNIMRDEEofPqFforS0Gg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Nonprofit Organization Management, Government Administration, and Financial Services","Employment type
Full-time",Entry level,"We want to hear from you if you are a creative problem solver with a keen interest in data analytics and a drive to learn and master new knowledge and techniques. If you are interested in working as part of a high-calibre and energetic team and in a dynamic collaborative work environment with a focus on growing data and analytics capability, this role is for you.  We are seeking a Data & Insights Analyst with a passion for data analytics and telling meaningful stories from insights gained with data. In this role you will work closely with a data and analytics hub of domain experts and part of a growing team of data subject matter experts within the agency.  In this role you will contribute to the delivery of the ACMA’s data and analytics projects and help us better report, derive insights and assist in making our data more accessible. You will have access to a range of datasets for analysis and reporting including consumer survey data, compliance and enforcement data from a range of industries we regulate, and spectrum data such as Radiocommunications licence data.  You will help design and develop interactive reports, dashboards and other data outputs using a variety of data sources to inform the agency and public on communications and media in Australia. You can see some of the teams’ interactive reports on the ACMA website—take a look at our Communications and Media in Australian series.  You will work as part of cross-functional, multi-disciplinary teams to deliver data action projects that solve business problems and deliver actionable insights and build reporting capability on topics such as spectrum and telecommunications performance.  You will have access to a secure cloud-based data analytics platform, which has been purpose designed and built to integrate a range of data for insightful reporting and the development of data visualisations and related products.  This role is perfectly suited for a curious and pragmatic Data & Insights Analyst with high attention to detail, and who is motivated to deliver business insights that can be used to foster data-driven decision making.  We want to hear from you if you are a creative problem solver with a keen interest in data analytics and a drive to learn and master new knowledge and techniques.  If you are interested in working as part of a high-calibre and energetic team and in a dynamic collaborative work environment with a focus on growing data and analytics capability, this role is for you.  Our ideal candidate will have experience in a data orientated role or analytics related field which will have developed their technical skills in the use of data analysis and visualisation software and database tools including PowerBI and SQL.  To succeed in this role, you will need to be able to extract, cleanse, structure and transform, analyse and translate data into easy to understand visualisations. You will need to understand data models and have experience in analysing large and small datasets to discover trends, patterns and actionable insights.  You will need to be able to communicate and engage effectively through data storytelling and synthesise and present results to stakeholders at all levels to support our regulatory decision making. You will have excellent verbal and written communication skills with an ability to document processes and explain data in a way that can be understood by non-technical stakeholders.  We are looking for a candidate who understands the value of collaboration and is able to work with various stakeholder groups. You will make an active contribution working in multi-disciplinary, cross-functional project teams to ensure data deliverables assist the ACMA to achieve its business objectives.  The successful candidate will be someone who can provide support and guidance to end-users on interactive reports and dashboards, and who can assist with enhancing existing reports or gathering requirements for new reports to be developed."
16,IDAM Business Analyst,Ampstek,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/idam-business-analyst-at-ampstek-2656304392?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=7%2FPVFx2vq6nXoWwI6L3AnA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Information Technology and Services,"Employment type
Contract",Mid-Senior level,"Hello, Hope you are doing well.  This is Abhinay from Ampstek (Staffing Company). I have IDAM Business Analyst position in Australia with one of our clients. If you are interested, please reply back to me. I would love to chat with you."
17,Cloud Data Engineer,Perpetual Limited,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/cloud-data-engineer-at-perpetual-limited-2656306244?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=hn1USffcB51OXzdOJcQXUw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,Financial Services and Information Technology and Services,"Employment type
Full-time",Associate,"Join a growing global firm  Working alongside some of the best in the industry, you’ll be both challenged and supported in this exciting role."
18,Performance Business Analyst,Questas Group,"Seven Hills, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/performance-business-analyst-at-questas-group-2656306079?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=qZv7wAyWOdrL8%2Fq5stZAAw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Mechanical or Industrial Engineering, Accounting, and Venture Capital & Private Equity","Employment type
Full-time",Associate,"About Us Questas Group is a group of diverse industrial companies providing design, sales, trade retail, service & repair, installation & commissioning and large scale projects across hydraulic, irrigation, pump and engine product lines to the mining, construction, agricultural and general industrial sectors."
19,Senior Analyst - Quantium Health & Government (Sydney / Canberra / Melbourne),Quantium,"Sydney, New South Wales, Australia",7/26/2021,https://au.linkedin.com/jobs/view/senior-analyst-quantium-health-government-sydney-canberra-melbourne-at-quantium-2656302344?refId=ExqR2%2BGcLLds9eVSUZHenQ%3D%3D&trackingId=cUk5Cz9qjY%2B7RwGqlKaTSg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Information Technology and Services and Management Consulting,"Employment type
Full-time",Mid-Senior level,"Quantium are continuing to hire with all interviewing and on-boarding done virtually due to COVID-19. We look forward to meeting you in person when our offices re-open and it is safe to do so.  Founded in 2002, Quantium combines the best of human and artificial intelligence to power possibilities for individuals, organisations and society. Our solutions make sense of what has happened and what will, could or should be done to re-shape industries and societies around the needs of the people they serve."
